drugcomb_name,beataml_name,match_source
docetaxel:tanespimycin (2:1 mol/mol),,no_match
doxorubicin:navitoclax (2:1 mol/mol),,no_match
erlotinib:PLX-4032 (2:1 mol/mol),,no_match
etoposide,,no_match
fluvastatin,,no_match
fqi1,,no_match
fumonisin b1,,no_match
gossypol,,no_match
homoharringtonine,,no_match
hydroxyurea,,no_match
hyperforin,,no_match
ifosfamide,,no_match
importazole,,no_match
irinotecan,,no_match
isoliquiritigenin,,no_match
itraconazole,,no_match
"l-685,458",,no_match
lbw242,,no_match
letrozole,,no_match
lfm-a13,,no_match
lomustine,,no_match
methotrexate,,no_match
methoxsalen,,no_match
mitomycin C,,no_match
mitotane,,no_match
mitoxantrone,,no_match
myricetin,,no_match
navitoclax:MST-312 (1:1 mol/mol),,no_match
navitoclax:PLX-4032 (1:1 mol/mol),,no_match
navitoclax:birinapant (1:1 mol/mol),,no_match
navitoclax:gemcitabine (1:1 mol/mol),,no_match
navitoclax:piperlongumine (1:1 mol/mol),,no_match
navitoclax:pluripotin (1:1 mol/mol),,no_match
navitoclax:sorafenib (1:1 mol/mol),,no_match
niclosamide,,no_match
o6-benzylguanine,,no_match
oligomycin A,,no_match
ouabain,,no_match
paclitaxel,,no_match
parthenolide,,no_match
piperlongumine:MST-312 (1:1 mol/mol),,no_match
pipobroman,,no_match
pitstop2,,no_match
prima-1,,no_match
procarbazine,,no_match
prochlorperazine,,no_match
pyrimethamine,,no_match
rTRAIL,,no_match
raloxifene,,no_match
salermide:PLX-4032 (12:1 mol/mol),,no_match
salubrinal,,no_match
selumetinib:BRD-A02303741 (4:1 mol/mol),,no_match
selumetinib:GDC-0941 (4:1 mol/mol),,no_match
selumetinib:JQ-1 (4:1 mol/mol),,no_match
selumetinib:MK-2206 (8:1 mol/mol),,no_match
selumetinib:PLX-4032 (8:1 mol/mol),,no_match
selumetinib:UNC0638 (4:1 mol/mol),,no_match
selumetinib:decitabine (4:1 mol/mol),,no_match
selumetinib:navitoclax (8:1 mol/mol),,no_match
selumetinib:piperlongumine (8:1 mol/mol),,no_match
selumetinib:tretinoin (2:1 mol/mol),,no_match
selumetinib:vorinostat (8:1 mol/mol),,no_match
serdemetan:SCH-529074 (1:1 mol/mol),,no_match
shikonin,,no_match
sildenafil,,no_match
simvastatin,,no_match
sirolimus:bortezomib (250:1 mol/mol),,no_match
tacrolimus,,no_match
tanespimycin:bortezomib (250:1 mol/mol),,no_match
tanespimycin:gemcitabine (1:1 mol/mol),,no_match
temozolomide,,no_match
teniposide,,no_match
thalidomide,,no_match
thapsigargin,,no_match
thiotepa,,no_match
tretinoin:carboplatin (2:1 mol/mol),,no_match
tretinoin:navitoclax (4:1 mol/mol),,no_match
trifluoperazine,,no_match
triptolide,,no_match
tungsten,,no_match
vincristine,,no_match
vorinostat:carboplatin (1:1 mol/mol),,no_match
vorinostat:navitoclax (4:1 mol/mol),,no_match
